ts,mid,top_usd,top_bps,s0.1_usd,s0.1_bps,s1_usd,s1_bps,s5_usd,s5_bps,s10_usd,s10_bps
2025-08-23T14:32:26.955530+00:00,115024.005,0.01,0.0008693837429847795684040040164,2.465289663,0.2143282754760625836319992509,10.8928871259,0.9470098981425659800317333760,30.17980549832,2.623783226668207214659235696,48.96470289835,4.256911667990520761296739754
2025-08-23T14:32:25.418033Z,115024.005,0.01,0.0008693837429847795684040040164,2.465289663,0.2143282754760625836319992509,10.8928871259,0.9470098981425659800317333760,30.17980549832,2.623783226668207214659235696,48.96470289835,4.256911667990520761296739754
2025-08-23T14:32:25.494986Z,115024.005,0.01,0.0008693837429847795684040040164,2.465289663,0.2143282754760625836319992509,10.8928220520,0.9470042407234907183070177395,30.23834132794,2.628872236533582707366171088,49.11979030316,4.270394714838872111956108640
2025-08-23T14:32:25.541857Z,115024.005,0.01,0.0008693837429847795684040040164,2.465289663,0.2143282754760625836319992509,10.8928220520,0.9470042407234907183070177395,30.17862776884,2.623680836781852622850334589,48.96390053861,4.256841912139122611840893560
2025-08-23T14:32:25.596651Z,115024.005,0.01,0.0008693837429847795684040040164,2.174289663,0.1890292085552054981914427341,10.7338155479,0.9331804737541524484389149900,30.09216908506,2.616164259370033237844569923,48.88350619872,4.249852558926286734668993659
2025-08-23T14:32:25.647709Z,115024.005,0.01,0.0008693837429847795684040040164,2.174289663,0.1890292085552054981914427341,10.7338155479,0.9331804737541524484389149900,30.09100306506,2.616062887486833726577334879,48.82484448204,4.244752604644569627009596823
2025-08-23T14:32:25.685358Z,115024.005,0.01,0.0008693837429847795684040040164,2.174289663,0.1890292085552054981914427341,10.7338155479,0.9331804737541524484389149900,30.09216908506,2.616164259370033237844569923,48.83062720902,4.245255345527222774063553082
2025-08-23T14:32:25.756938Z,115024.005,0.01,0.0008693837429847795684040040164,2.174289663,0.1890292085552054981914427341,10.7338155479,0.9331804737541524484389149900,30.09216908506,2.616164259370033237844569923,48.80128445388,4.242704334097912866101297725
2025-08-23T14:32:25.814419Z,115024.005,0.01,0.0008693837429847795684040040164,2.046489845,0.1779185001426441376302277077,10.7210346058,0.9320693194259754735544115335,30.09218593062,2.616165723895633785312900555,48.85380230485,4.247270150682894409736471965
2025-08-23T14:32:25.876523Z,115024.005,0.01,0.0008693837429847795684040040164,2.046489845,0.1779185001426441376302277077,10.7210346058,0.9320693194259754735544115335,30.09601117626,2.616498284532867726175940405,48.82583167275,4.244838429400019587215729447
2025-08-23T14:32:25.923839Z,115024.005,0.01,0.0008693837429847795684040040164,1.648103449,0.1432834345317744761191370445,8.9358762781,0.7768705565503479034658895767,29.09685789294,2.529633522406040373920209090,47.79359251493,4.155097235131918767738960228
2025-08-23T14:32:25.999666Z,115024.005,0.01,0.0008693837429847795684040040164,1.648103449,0.1432834345317744761191370445,8.9358762781,0.7768705565503479034658895767,29.09685789294,2.529633522406040373920209090,47.79274395594,4.155023462792831809325366475
2025-08-23T14:32:26.028294Z,115024.005,0.01,0.0008693837429847795684040040164,1.648103449,0.1432834345317744761191370445,8.9358762781,0.7768705565503479034658895767,29.09685789294,2.529633522406040373920209090,47.79274395594,4.155023462792831809325366475
2025-08-23T14:32:26.114593Z,115024.005,0.01,0.0008693837429847795684040040164,1.648103449,0.1432834345317744761191370445,8.9358762781,0.7768705565503479034658895767,29.09685789294,2.529633522406040373920209090,47.79123136438,4.154891960541627810647003641
2025-08-23T14:32:26.168804Z,115024.005,0.01,0.0008693837429847795684040040164,1.648103449,0.1432834345317744761191370445,8.9358762781,0.7768705565503479034658895767,29.09685789294,2.529633522406040373920209090,47.3626272947,4.117629819505937043315436634
2025-08-23T14:32:26.239493Z,115024.005,0.01,0.0008693837429847795684040040164,1.648103449,0.1432834345317744761191370445,8.9358762781,0.7768705565503479034658895767,29.13923853334,2.533318026384144770476388820,47.52592949442,4.131827047268959205515405241
